period,quarter,order_no,po_count,pod,sales_order_no,supplier_id,product_id,ordered,amount_in_each,unit_price,amount,delivered,order_type,order_id,tax_code,transaction_no,location_id,order_date,posted,status,cost_centre,contract_id
201802,Q1,508753,0,2,8928374,6,738,1,12,18.41,18.41,1,Purchase Order,8928374,1,31054180,1,2018-05-09,18.96,O,1,52
201802,Q1,508753,1,1,8928374,6,742,1,12,29.22,29.22,0,Purchase Order,8928374,1,0,1,2018-05-09,0,O,1,52
201804,Q2,517823,1,1,8936098,6,144,10,10,60,600,10,Purchase Order,8936098,1,0,1,2018-07-27,0,O,1,9
201802,Q1,509428,1,1,8928495,6,286,10,10,190,1900,10,Purchase Order,8928495,1,31054452,1,2018-05-15,1900,F,1,9
201802,Q1,509428,0,2,8928495,6,291,10,10,240,2400,10,Purchase Order,8928495,1,31054452,1,2018-05-15,2400,F,1,9
201803,Q1,513019,1,1,8931481,6,288,7,7,1305,9135,7,Purchase Order,8931481,1,31055462,1,2018-06-15,9135,F,1,41
201803,Q1,513018,1,1,8931480,6,288,7,7,1305,9135,7,Purchase Order,8931480,1,31055461,1,2018-06-15,9135,F,1,41
201802,Q1,507910,1,1,8927513,6,288,7,7,1305,9135,7,Purchase Order,8927513,1,31053797,1,2018-05-01,9135,F,1,41
201802,Q1,507909,1,1,8927512,6,288,7,7,1305,9135,7,Purchase Order,8927512,1,31053792,1,2018-05-01,9135,F,1,41
201802,Q1,507907,1,1,8927505,6,288,7,7,1305,9135,7,Purchase Order,8927505,1,31053788,1,2018-05-01,9135,F,1,41
201801,Q1,507267,1,1,8926750,6,288,2,2,1305,2610,2,Purchase Order,8926750,1,31053705,1,2018-04-26,2610,F,1,41
201801,Q1,507233,1,1,8926751,6,288,7,7,1305,9135,7,Purchase Order,8926751,1,31053706,1,2018-04-26,9135,F,1,41
201804,Q2,517786,1,1,8935843,16,296,6,6,495,2970,0,Purchase Order,8935843,1,0,1,2018-07-27,0,O,1,11
201804,Q2,516165,1,1,8934269,16,296,6,6,495,2970,6,Purchase Order,8934269,1,32054116,1,2018-07-12,2970,F,1,11
201803,Q1,512370,1,1,8931163,16,296,6,6,495,2970,6,Purchase Order,8931163,1,32053670,1,2018-06-11,2970,F,1,11
201802,Q1,510663,1,1,8929796,16,296,6,6,495,2970,6,Purchase Order,8929796,1,32053442,1,2018-05-24,2970,O,1,11
201804,Q2,516168,1,1,8934734,27,234,7,7,425,2975,0,Purchase Order,8934734,3,0,1,2018-07-12,0,O,1,21
201802,Q1,510135,1,1,8929045,27,234,7,7,425,2975,7,Purchase Order,8929045,3,37554255,1,2018-05-21,2975,O,1,21
201801,Q1,504980,1,1,8925118,27,234,7,7,425,2975,7,Purchase Order,8925118,3,37554006,1,2018-04-06,2975,O,1,21
201801,Q1,506703,1,1,8926598,5,609,10,50,90,900,10,Purchase Order,8926598,1,37076699,1,2018-04-23,900,O,1,56
201804,Q2,518119,0,3,8936649,5,389,1,10,120,120,0,Purchase Order,8936649,1,0,1,2018-07-31,0,O,1,56
201803,Q1,511707,0,2,8930608,5,389,4,40,120,480,4,Purchase Order,8930608,1,37078071,1,2018-06-05,480,F,1,56
