product_code,description,unit,unit_desc,units_in_each,unit_price,nhs_supply_chain_code,bunzl_product_code,unipro_code,tenant_id,supplier_id,group_id,tax_code,eclass,contract_id
W3113,Monocryl Vio 150cm M3,BX,Box 12,12,18.41,,,,1,6,13,1,25,621
W631,DISCONTINUED. 2-0 Usp / 3 Metric / Prolene(r) Polypropylene Suture / Monofilament / Blue / 1 X 75 Cm / Ks / 60 Mm Straight / Cutting 2 Beads + 2 Collars,BX,Box 12,12,29.22,,,,1,6,13,1,25,621
D128709,Cbl 12-pin/ 10-stp Blue 10,BX,Box 1,1,190,,,,1,6,16,1,32,622
39F41R,"Length 0.9 M, For 2, 4, 6, 8 And 10 Pole Catheters, Auto-clavable Yes, Connector At Catheter Redel 10, Ep-system 10 Protected Tip Pins, Diagnostic Catheters",BX,Box 1,1,60,,,,1,6,10,1,14,622
D134401,Split Handle Ext. Cable 9 Lg,BX,Box 1,1,240,,,,1,6,10,1,28,622
D133602,Thermocool Smart Touch Unidirectional Catheter F Curve,BX,Box 1,1,1305,,,,1,6,10,1,14,623
D684-00-0296-02,Mega 8.0Fr 50Cc Iab W/Sl&Apa,EA,Single,1,495,,,,1,16,6,1,7,624
85900P,Eagle Eye Platinum Rx Digital Ivus Catheter,BX,Box 1,1,425,,,,1,27,12,3,15,625
M001465251,Guidewire Amplatz 0.035 Inch 180 Cm Super Stiff Straight,BX,Box 5,5,90,,,,1,5,3,1,4,626
H802227680040,Rotablator Rotalink Burr 135 Cm 1.75 Mm,BX,Box 1,1,370,,,,1,5,16,1,32,626
H74904483102,Adaptor Y Gateway Plus Cardio,BX,Box 10,10,120,,,,1,5,5,1,6,626
H74914903012,Guidewire Pt Graphix Standard 182 Cm Moderate Support Straight Tip,BX,Box 5,5,190,,,,1,5,3,1,4,626
M004EPT5031T0,Catheter Blazer Ii 7 Fr 4 Mm Ablation Quadripolar Standard Curve,BX,Box 1,1,350,,,,1,5,10,1,14,626
M004EPT4500THK20,Catheter Blazer Ii Htd Xp Ablation Quadripolar Standard Large Curve 8 Fr 8 Mm,BX,Box 1,1,375,,,,1,5,10,1,14,626
M004EPT4500T0,Catheter Blazer Ii Xp Ablation Quadripolar Standard 8 Fr 8 Mm,BX,Box 1,1,375,,,,1,5,10,1,14,626
M004EPT5031THK20,Catheter Blazer Ii Htd Ablation Quadripolar Standard Large Curve 7 Fr 4 Mm -- Product Code - M004ept5031thk20,BX,Box 1,1,350,,,,1,5,10,1,14,626
M004EPT9620K20,Catheter Ablation Blazer Open Irrigated 7.5 Fr 110 Cm 2.5 Mm Quadripolar Large,BX,Box 1,1,600,,,,1,5,10,1,14,626
H7493919315120,Balloon Catheter Emerge Monorail 15 X 1.2 Mm,BX,Box 1,1,33,,,,1,5,2,1,18,626
